id_intervallo,Start,End,Latitude_inizio,Latitude_fine,Longitude_inizio,Longitude_fine,Velocità,"LF[315,1000]_mean","LF[315,1000]_max",classe_acustica,Longitudinal,Transverse,Alligator,Pothole,Manhole,Longitudinal_sx,Transverse_sx,Alligator_sx,Pothole_sx,Manhole_sx,Longitudinal_dx,Transverse_dx,Alligator_dx,Pothole_dx,Manhole_dx,Longitudinal_both,Transverse_both,Alligator_both,Pothole_both,Manhole_both,indice_finale
21,2025-07-31 09:19:00.410698496,2025-07-31 09:19:01.815713280,43.68328660625462,43.68336622375136,10.433851639386608,10.433629178733929,14.210886210869678,-48.59796060852365,-45.14225421361496,1,4,1,0,0,0,3,1,4,0,2,0,0,0,0,0,0,0,0,0,0,2
22,2025-07-31 09:19:01.815713280,2025-07-31 09:19:03.216059648,43.68336622375136,43.68344391005252,10.433629178733929,10.433405430439937,14.263587950052688,-49.179023603917024,-48.03157571186756,0,4,3,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
23,2025-07-31 09:19:03.216059648,2025-07-31 09:19:04.609268992,43.68344391005252,43.683522858575095,10.433405430439937,10.433182516964443,14.323897606726874,-49.1819854170199,-48.57002392918946,0,6,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
24,2025-07-31 09:19:04.609268992,2025-07-31 09:19:05.999602432,43.683522858575095,43.683599978129735,10.433182516964443,10.432958397618648,14.375987755128325,-48.826045919300505,-46.85604444588041,0,5,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2025-07-31 09:19:05.999602432,2025-07-31 09:19:07.381181952,43.683599978129735,43.68367826698173,10.432958397618648,10.432735042238388,14.436418158022352,-50.58962376967349,-49.490382094350224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2025-07-31 09:19:07.381181952,2025-07-31 09:19:08.769184256,43.68367826698173,43.68375692044406,10.432735042238388,10.432511930510897,14.429703462118509,-49.82915469691611,-45.20596850860328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2025-07-31 09:19:08.769184256,2025-07-31 09:19:10.175212288,43.68375692044406,43.683836595363765,10.432511930510897,10.4322895087599,14.287845541260886,-50.33076534121818,-49.46940061956251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2025-07-31 09:19:10.175212288,2025-07-31 09:19:11.643403776,43.683836595363765,43.683916575858106,10.4322895087599,10.43206730078989,13.820290149745002,-50.59912183301606,-48.45729563013982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2025-07-31 09:19:11.643403776,2025-07-31 09:19:13.255867392,43.683916575858106,43.68399527380593,10.43206730078989,10.431844217697336,12.8119686554272,-50.53914467302813,-48.32043618221552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2025-07-31 09:19:13.255867392,2025-07-31 09:19:14.988215296,43.68399527380593,43.6840744696897,10.431844217697336,10.43162147308418,11.717357046673609,-50.98123544271596,-48.85928550552328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2025-07-31 09:19:14.988215296,2025-07-31 09:19:16.998692608,43.6840744696897,43.68415328539703,10.43162147308418,10.431398468426549,10.267537277872592,-52.539627553143504,-50.025781828889095,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2025-07-31 09:19:16.998692608,2025-07-31 09:19:24.473144576,43.68415328539703,43.68425288574437,10.431398468426549,10.431205447588964,5.420469859777187,-68.43404162953749,-47.324385974932056,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2025-07-31 09:19:24.473144576,2025-07-31 09:19:28.838718976,43.68425288574437,43.6844127962091,10.431205447588964,10.43109317176473,3.9682097251963584,-74.43929805955548,-62.07291671517176,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2025-07-31 09:19:29,2025-07-31 09:19:31.461422592,43.684421666666665,43.684598580465895,10.431088333333332,10.431086278378862,8.657805971498338,-59.13698380328588,-53.58016473556927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2025-07-31 09:19:31.461422592,2025-07-31 09:19:33.492763648,43.684598580465895,43.68476355157548,10.431086278378862,10.431183720424038,9.433843499652674,-55.089256564478674,-51.66782169340752,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2025-07-31 09:19:33.492763648,2025-07-31 09:19:35.171256576,43.68476355157548,43.68492326736163,10.431183720424038,10.431298129666173,11.3451006666736,-53.812630473061056,-52.63530557885771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2025-07-31 09:19:35.171256576,2025-07-31 09:19:36.621307392,43.68492326736163,43.68508415253602,10.431298129666173,10.43140930023796,13.232337207206584,-48.05281279821901,-47.02824316861613,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2025-07-31 09:19:36.621307392,2025-07-31 09:19:37.947395840,43.68508415253602,43.68524675782822,10.43140930023796,10.431515704003326,14.650716857407737,-49.06848658814758,-45.44821957130908,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2025-07-31 09:19:37.947395840,2025-07-31 09:19:39.208966656,43.68524675782822,43.68540786220987,10.431515704003326,10.431626244935025,15.618745791839617,-47.46654161235801,-45.73489820135169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2025-07-31 09:19:39.208966656,2025-07-31 09:19:40.370147584,43.68540786220987,43.68556638780891,10.431626244935025,10.431743681417071,16.595740371251136,-46.297251342641616,-44.63936987690136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2025-07-31 09:19:40.370147584,2025-07-31 09:19:41.490597120,43.68556638780891,43.685726985573446,10.431743681417071,10.431855726369072,17.560523483322278,-47.803651209348686,-45.136145755068455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2025-07-31 09:19:41.490597120,2025-07-31 09:19:42.607451392,43.685726985573446,43.68588808043796,10.431855726369072,10.431966399377464,17.88206624264038,-48.98791753063295,-47.12501212436876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2025-07-31 09:19:42.607451392,2025-07-31 09:19:43.732348416,43.68588808043796,43.68604874935175,10.431966399377464,10.432078234836526,17.83577442138624,-47.90809979869418,-45.91952450510627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2025-07-31 09:19:43.732348416,2025-07-31 09:19:44.877477120,43.68604874935175,43.68620951346174,10.432078234836526,10.432189822787072,17.595400313428176,-47.323579861272194,-45.394400243956326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2025-07-31 09:19:44.877477120,2025-07-31 09:19:46.056423424,43.68620951346174,43.68637076240965,10.432189822787072,10.4323000781028,17.172757675230024,-48.25581382128999,-46.23140026322157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2025-07-31 09:19:46.056423424,2025-07-31 09:19:47.292219136,43.68637076240965,43.6865320144378,10.4323000781028,10.432410325667965,16.530802047008237,-48.00713934430336,-45.764575038592426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2025-07-31 09:19:47.292219136,2025-07-31 09:19:48.608728832,43.6865320144378,43.6866936995881,10.432410325667965,10.43251935043156,15.588133168359125,-48.88041749926813,-46.42737223173821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2025-07-31 09:19:48.608728832,2025-07-31 09:19:50.150067456,43.6866936995881,43.686855338723184,10.43251935043156,10.432628503817808,13.699951045445818,-46.62717345864338,-41.728127469685525,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2025-07-31 09:19:50.150067456,2025-07-31 09:19:52.691226112,43.686855338723184,43.68701098237702,10.432628503817808,10.432752134420504,9.293827118379332,-47.70520138949716,-44.65376477576434,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2025-07-31 09:19:52.691226112,2025-07-31 09:19:56.345078272,43.68701098237702,43.68711989467034,10.432752134420504,10.432947946498665,6.233671775969961,-57.77558724464818,-50.1838105747936,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2025-07-31 09:19:59,2025-07-31 09:20:01.295901440,43.687265,43.68744465845768,10.433061666666667,10.433063758194022,8.905311494357123,-51.64113853526994,-49.30898921272199,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2025-07-31 09:20:01.295901440,2025-07-31 09:20:03.254793472,43.68744465845768,43.68761463003935,10.433063758194022,10.433140319567366,9.834757139425292,-52.04988717145095,-50.2285332506555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2025-07-31 09:20:03.254793472,2025-07-31 09:20:04.806805760,43.68761463003935,43.68777541531225,10.433140319567366,10.433251855116628,12.06721792458099,-48.727432759910045,-44.76680714898768,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2025-07-31 09:20:04.806805760,2025-07-31 09:20:06.214190336,43.68777541531225,43.687936655541655,10.433251855116628,10.433362135228563,13.83571734398809,-45.917973988347406,-40.22629814499869,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2025-07-31 09:20:06.214190336,2025-07-31 09:20:07.558894592,43.687936655541655,43.6880981951623,10.433362135228563,10.433471574552645,14.65520457952748,-41.50135189729441,-38.36359941225378,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2025-07-31 09:20:07.558894592,2025-07-31 09:20:08.819327232,43.6880981951623,43.688259845863904,10.433471574552645,10.433580707232313,15.495616120918667,-44.22731192262452,-41.94707286606439,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2025-07-31 09:20:08.819327232,2025-07-31 09:20:10.021362688,43.688259845863904,43.68842132412741,10.433580707232313,10.433690327196052,16.357611988524198,-43.53888138730954,-41.78786133212861,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2025-07-31 09:20:10.021362688,2025-07-31 09:20:11.178200320,43.68842132412741,43.688583281374434,10.433690327196052,10.43379859569456,17.01156811537943,-44.55079692929886,-43.33475356689527,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2025-07-31 09:20:11.178200320,2025-07-31 09:20:12.328559872,43.688583281374434,43.68874487930607,10.43379859569456,10.433907879848384,17.34147419813522,-40.34567875839106,-32.05764679036524,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
