Start,End,Latitude_inizio,Latitude_fine,Longitude_inizio,Longitude_fine,Velocità
2025-07-31 09:31:29,2025-07-31 09:31:30.552761088,43.71077833333333,43.71070661654943,10.424136666666667,10.424364229083293,12.837156538984589
2025-07-31 09:31:30.552761088,2025-07-31 09:31:32.112896,43.71070661654943,43.710625645540546,10.424364229083293,10.424585805456044,12.843725638062061
2025-07-31 09:31:32.112896,2025-07-31 09:31:33.677545984,43.710625645540546,43.710541068305425,10.424585805456044,10.424804856434669,12.827008971207135
2025-07-31 09:31:33.677545984,2025-07-31 09:31:35.192400128,43.710541068305425,43.71045377665956,10.424804856434669,10.42502187268472,13.058766545139392
2025-07-31 09:31:35.192400128,2025-07-31 09:31:36.653189632,43.71045377665956,43.71036747528503,10.42502187268472,10.425239645120747,13.52381306124929
2025-07-31 09:31:36.653189632,2025-07-31 09:31:38.111342848,43.71036747528503,43.71027998609402,10.425239645120747,10.42545651586015,13.710929502744458
2025-07-31 09:31:38.111342848,2025-07-31 09:31:39.562798080,43.71027998609402,43.71019289878084,10.42545651586015,10.425673691044715,13.754250124277643
2025-07-31 09:31:39.562798080,2025-07-31 09:31:40.962480896,43.71019289878084,43.71010570954035,10.425673691044715,10.425890788680903,14.12777369599709
2025-07-31 09:31:40.962480896,2025-07-31 09:31:42.299593216,43.71010570954035,43.710018360452054,10.425890788680903,10.426107766214498,14.714818742789564
2025-07-31 09:31:42.299593216,2025-07-31 09:31:43.604140800,43.710018360452054,43.70993139061239,10.426107766214498,10.426325030370377,15.179357129735605
2025-07-31 09:31:43.604140800,2025-07-31 09:31:44.904921344,43.70993139061239,43.70984467190327,10.426325030370377,10.426542486908492,15.357455177981194
2025-07-31 09:31:44.904921344,2025-07-31 09:31:46.233432320,43.70984467190327,43.70975893834527,10.426542486908492,10.426760682491539,15.179895964640085
2025-07-31 09:31:46.233432320,2025-07-31 09:31:47.625719808,43.70975893834527,43.70967516634762,10.426760682491539,10.426980319895351,14.64032111926555
2025-07-31 09:31:47.625719808,2025-07-31 09:31:49.203463936,43.70967516634762,43.70959587298547,10.426980319895351,10.427203059257026,13.21030976438324
2025-07-31 09:31:49.203463936,2025-07-31 09:31:51.946181888,43.70959587298547,43.70952098666558,10.427203059257026,10.427428706669911,8.582045728238178
