Start,End,Latitude_inizio,Latitude_fine,Longitude_inizio,Longitude_fine,Velocità
2025-07-31 09:19:29,2025-07-31 09:19:31.461422592,43.684421666666665,43.684598580465895,10.431088333333332,10.431086278378862,8.657805971498338
2025-07-31 09:19:31.461422592,2025-07-31 09:19:33.492763648,43.684598580465895,43.68476355157548,10.431086278378862,10.431183720424038,9.433843499652674
2025-07-31 09:19:33.492763648,2025-07-31 09:19:35.171256576,43.68476355157548,43.68492326736163,10.431183720424038,10.431298129666173,11.345100666673599
2025-07-31 09:19:35.171256576,2025-07-31 09:19:36.621307392,43.68492326736163,43.68508415253602,10.431298129666173,10.43140930023796,13.232337207206584
2025-07-31 09:19:36.621307392,2025-07-31 09:19:37.947395840,43.68508415253602,43.68524675782822,10.43140930023796,10.431515704003326,14.650716857407737
2025-07-31 09:19:37.947395840,2025-07-31 09:19:39.208966656,43.68524675782822,43.68540786220987,10.431515704003326,10.431626244935025,15.618745791839615
2025-07-31 09:19:39.208966656,2025-07-31 09:19:40.370147584,43.68540786220987,43.68556638780891,10.431626244935025,10.431743681417071,16.595740371251136
2025-07-31 09:19:40.370147584,2025-07-31 09:19:41.490597120,43.68556638780891,43.685726985573446,10.431743681417071,10.431855726369072,17.560523483322278
2025-07-31 09:19:41.490597120,2025-07-31 09:19:42.607451392,43.685726985573446,43.685888080437955,10.431855726369072,10.431966399377465,17.88206624264038
2025-07-31 09:19:42.607451392,2025-07-31 09:19:43.732348416,43.685888080437955,43.68604874935175,10.431966399377465,10.432078234836526,17.83577442138624
2025-07-31 09:19:43.732348416,2025-07-31 09:19:44.877477120,43.68604874935175,43.68620951346174,10.432078234836526,10.432189822787073,17.595400313428176
2025-07-31 09:19:44.877477120,2025-07-31 09:19:46.056423424,43.68620951346174,43.68637076240965,10.432189822787073,10.4323000781028,17.172757675230024
2025-07-31 09:19:46.056423424,2025-07-31 09:19:47.292219136,43.68637076240965,43.686532014437795,10.4323000781028,10.432410325667965,16.530802047008237
2025-07-31 09:19:47.292219136,2025-07-31 09:19:48.608728832,43.686532014437795,43.6866936995881,10.432410325667965,10.432519350431559,15.588133168359125
2025-07-31 09:19:48.608728832,2025-07-31 09:19:50.150067456,43.6866936995881,43.686855338723184,10.432519350431559,10.432628503817808,13.699951045445818
2025-07-31 09:19:50.150067456,2025-07-31 09:19:52.691226112,43.686855338723184,43.68701098237702,10.432628503817808,10.432752134420504,9.293827118379333
2025-07-31 09:19:52.691226112,2025-07-31 09:19:56.345078272,43.68701098237702,43.68711989467034,10.432752134420504,10.432947946498665,6.233671775969961
