Start,End,Latitude_inizio,Latitude_fine,Longitude_inizio,Longitude_fine,Velocità
2025-07-31 09:20:29,2025-07-31 09:20:30.009093888,43.69142333333333,43.69160327325118,10.435245,10.43523821208167,19.819748209174186
2025-07-31 09:20:30.009093888,2025-07-31 09:20:31.026482176,43.69160327325118,43.69178301184963,10.43523821208167,10.435224646904432,19.73896302629862
2025-07-31 09:20:31.026482176,2025-07-31 09:20:32.044286976,43.69178301184963,43.691962750222274,10.435224646904432,10.435211076173541,19.65408379124498
2025-07-31 09:20:32.044286976,2025-07-31 09:20:33.072045312,43.691962750222274,43.69214248784848,10.435211076173541,10.435197492805072,19.55472232311604
2025-07-31 09:20:33.072045312,2025-07-31 09:20:34.109316096,43.69214248784848,43.69232228145007,10.435197492805072,10.435185391312658,19.370411650312157
2025-07-31 09:20:34.109316096,2025-07-31 09:20:35.147951616,43.69232228145007,43.692502065028634,10.435185391312658,10.43517302731169,19.26821090714004
2025-07-31 09:20:35.147951616,2025-07-31 09:20:36.198869760,43.692502065028634,43.69268180972837,10.43517302731169,10.435159677969931,19.141170119479114
2025-07-31 09:20:36.198869760,2025-07-31 09:20:37.267231488,43.69268180972837,43.69286165061281,10.435159677969931,10.435148994353035,18.873769385597164
2025-07-31 09:20:37.267231488,2025-07-31 09:20:38.335592960,43.69286165061281,43.69304149149257,10.435148994353035,10.435138310736416,18.720252197134826
2025-07-31 09:20:38.335592960,2025-07-31 09:20:39.400001536,43.69304149149257,43.693221333598025,10.435138310736416,10.435127666651098,18.757254223502272
2025-07-31 09:20:39.400001536,2025-07-31 09:20:40.453324544,43.693221333598025,43.69340115403614,10.435127666651098,10.43511637788104,18.89308611422957
2025-07-31 09:20:40.453324544,2025-07-31 09:20:41.486653184,43.69340115403614,43.69358097538045,10.43511637788104,10.435105133469031,19.17772955173256
2025-07-31 09:20:41.486653184,2025-07-31 09:20:42.495230976,43.69358097538045,43.69376080825253,10.435105133469031,10.43509422230462,19.597513289749962
2025-07-31 09:20:42.495230976,2025-07-31 09:20:43.485204992,43.69376080825253,43.6939406209049,10.43509422230462,10.435082672609083,20.01610925206026
2025-07-31 09:20:43.485204992,2025-07-31 09:20:44.461959424,43.6939406209049,43.69412046248604,10.435082672609083,10.435072047072827,20.33736957558421
2025-07-31 09:20:44.461959424,2025-07-31 09:20:45.434227200,43.69412046248604,43.69430033203315,10.435072047072827,10.435062324394604,20.522234048277767
2025-07-31 09:20:45.434227200,2025-07-31 09:20:46.410425344,43.69430033203315,43.6944802446618,10.435062324394604,10.435054614539526,20.53003868739905
2025-07-31 09:20:46.410425344,2025-07-31 09:20:47.392136704,43.6944802446618,43.694660225071615,10.435054614539526,10.435052973789182,20.431108705559613
2025-07-31 09:20:47.392136704,2025-07-31 09:20:48.366889984,43.694660225071615,43.69484015281097,10.435052973789182,10.435059280384019,20.443455361622025
2025-07-31 09:20:48.366889984,2025-07-31 09:20:49.326827520,43.69484015281097,43.69501988582593,10.435059280384019,10.435072658502229,20.673027055098185
2025-07-31 09:20:49.326827520,2025-07-31 09:20:50.274483712,43.69501988582593,43.695199276036064,10.435072658502229,10.435092777037216,20.96488464590957
2025-07-31 09:20:50.274483712,2025-07-31 09:20:51.207132160,43.695199276036064,43.695378033678914,10.435092777037216,10.435121618622846,21.27026126093463
2025-07-31 09:20:51.207132160,2025-07-31 09:20:52.132788224,43.695378033678914,43.6955558937268,10.435121618622846,10.435159751436556,21.52186446503137
2025-07-31 09:20:52.132788224,2025-07-31 09:20:53.041772800,43.6955558937268,43.695733006441245,10.435159751436556,10.435204033788425,21.802391509711292
2025-07-31 09:20:53.041772800,2025-07-31 09:20:53.960053248,43.695733006441245,43.69590901022459,10.435204033788425,10.43525606968959,21.89635789030973
2025-07-31 09:20:53.960053248,2025-07-31 09:20:54.891968256,43.69590901022459,43.69608465402772,10.43525606968959,10.435310364816846,21.63602129125401
2025-07-31 09:20:54.891968256,2025-07-31 09:20:55.823357184,43.69608465402772,43.69626006558677,10.435310364816846,10.43536606809254,21.477189852418604
2025-07-31 09:20:55.823357184,2025-07-31 09:20:56.766353152,43.69626006558677,43.696435108665774,10.43536606809254,10.435423925110815,21.347879630669844
2025-07-31 09:20:56.766353152,2025-07-31 09:20:57.718212864,43.696435108665774,43.69661000569558,10.435423925110815,10.43548262312791,21.12114811337311
2025-07-31 09:20:57.718212864,2025-07-31 09:20:58.674073600,43.69661000569558,43.69678524684363,10.43548262312791,10.435539320965399,20.971758172046464
